name,abv,image_url
MARTELL Cordon Bleu,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MARTELL-Cordon-Bleu.jpg"
JAMESON The Original Irish Whiskey (Triple Distilled),40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JAMESON-The-Original-Irish-Whiskey-Triple-Distilled.jpg"
Monkey 47 Schwarzwald Sloe Gin,25%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Monkey-47-Sloe-Gin.png"
VOGA Prosecco DOC Brut,10.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/VOGA-Prosecco-DOC-Brut.jpg"
EDENVALE Alcohol Removed Wine Sauvignon Blanc,75cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/EDENVALE-Alcohol-Removed-Wine-Sauvignon-Blanc.jpg"
Suntory Umeshu Plum Liqueur Yamazaki Cask,20%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Suntory-Umeshu-Plum-Liqueur-Yamazaki-Cask.jpg"
JOHNNIE WALKER JOHN WALKER & SONS™ XR™ 21,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JOHNNIE-WALKER-John-Walker-Sons-XR-21-Year-Old-3-.jpg"
JACK DANIEL’S Old No.7 Black Label,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JACK-DANIELS-Old-No.7-Black-Label.jpg"
BLUE NUN Authentic White,10%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BLUE-NUN-Authentic-White.jpg"
BRUICHLADDICH The Classic Laddie Scottish Barley,50%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BRUICHLADDICH-The-Classic-Laddie-Scottish-Barley.jpg"
BROWN BROTHERS Moscato Rosa Wine,7%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BROWN-BROTHERS-Moscato-Rosa-Wine.png"
GLENFIDDICH 12 Year Old New Release,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Glenfiddich-12-year-old-new.jpg"
Canadian Club,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Canadian-Club.jpg"
JOHNNIE WALKER Swing,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JOHNNIE-WALKER-Swing.jpg"
WILDSTONE Cabernet Sauvignon,13%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/WILDSTONE-Cabernet-Sauvignon-3.jpg"
JAGERMEISTER Gift Set,35%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/jagermiester-gift.jpg"
COINTREAU Orange Liqueur,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/COINTREAU-Orange-Liqueur.jpg"
BOLS Cherry Brandy,24%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BOLS-Cherry-Brandy.jpg"
BACARDI Carta Blanca Rum,37.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BACARDI-Carta-Blanca-Rum.jpg"
AUCHENTOSHAN 12 Year Old,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/auchen-1.jpg"
BROWN BROTHERS Orange Muscat & Flora,10%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BROWN-BROTHERS-Orange-Muscat-Flora.png"
HALFMOON Umeshiso,20%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/HALFMOON-Umeshiso.jpg"
JACK DANIEL Tennessee Honey Whiskey⚡,35%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JACK-DANIEL-Honey-Tennessee-Whiskey.jpg"
SUIGEI Junmaishu Hattannishiki 60%,72cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SUIGEI-Junmaishu-Hattannishiki-60.jpg"
CHAMPAGNE BILLECART SALMON Brut Rose,12%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/CHAMPAGNE-BILLECART-SALMON-Brut-Rose.png"
CHOYA Umeshu Dento Extra Years,17%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Choya-Extra-Year-1.jpg"
OBAN 14 Year Old,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/OBAN-14-Year-Old-2.jpg"
ANGOSTURA Aromatic Bitters,44.7%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ANGOSTURA-Aromatic-Bitters-.jpg"
